No.	Certification#	Certification#	Entity	Owner	Finca	Beneficio	Department	Municipality	Canton	Operations	TotalArea	CultivationArea	Production(kg/green)	MaximumQty(kg)	Annual%Sold	Cycle%Sold	Latitude	Longitude	OriginalCertDate	Program	Status	YearOfCert	ExpirationDate			
62	SV06-SN-1255-CC	#N/A	Beneficio San José de La Majada	Cooperativa de Cafetaleros de San José de La Majada de R.L	0	1	Sonsonate	Juayua	San José La Majada	1	N/A	N/A	N/A	#N/A	#N/A	#N/A			#N/A	Rainforest Alliance CertifiedTM	CdC	2006	12/19/11			
63	SFC-F-04000	SFC-F-04000	Las Mercedes 	"Corporacion Puntarenas, S.A. de C.V."	1	0	San Salvador	Apopa	Las Delicias	1	76	68	60000	100000	0.57	0.57	13.75498	-89.84631	"Jan 31,13"	Rainforest Alliance CertifiedTM	Certificada	2012	01/31/13			
64		#N/A	Piemonte	"Creta, S.A. de C.V."	1	0								#N/A	#N/A	#N/A	13.71414	-89.31661	#N/A							
65	SFC-F-00409	SFC-F-00409	El Carmen	Cristiani Burkard S.A. de C.V	1	0	San Vicente	Tepetitan	Loma Alta	1	158.74	80.3	136364	136364	0.38	0.38	13.61285	-88.83758	"Feb 28,13"	Rainforest Alliance CertifiedTM	Certificada	2003	02/28/13			
66	SFC-F-00410	SFC-F-00409	Las Colinas	Cristiani Burkard S.A. de C.V	1	0	San Vicente	San Vicente	Los Laureles	1	140.87	50.97	67095	136364	0.38	0.38	13.60744	-88.81965	"Feb 28,13"	Rainforest Alliance CertifiedTM	Certificada	2005	02/28/13			
67	SFC-F-00412	SFC-F-00409	Santa Magdalena	Cristiani Burkard S.A. de C.V	1	0	San Vicente	Tepetitan	Loma Alta	1	47.91	35.62	64934	136364	0.38	0.38	13.60085	-88.86575	"Feb 28,13"	Rainforest Alliance CertifiedTM	Certificada	2005	02/28/13			
68	SFC-F-00411	SFC-F-00409	San Jacinto	Cristiani Burkard S.A. de C.V	1	0	San Vicente	Guadalupe	Joya de Munguia	1	78.53	74.33	63064	136364	0.38	0.38	13.61047	-88.88177	"Feb 28,13"	Rainforest Alliance CertifiedTM	Certificada	2007	07/22/13			
69		#N/A	Finca Santa Margarita	"Cristiani Burkard, S.A. de C.V."	1	0								#N/A	#N/A	#N/A	13.49304	-88.47029	#N/A							
70	SFC-F-01202	SFC-F-01202	Marías I	Debora Llach Cady	1	0	La Libertad	Colon	El Manguito	1	174.52	139.75	81900	81900	0	0	13.69921	-89.33414	"Jan 31,11"	Rainforest Alliance CertifiedTM	Certificada	2007	01/31/13			
71	SW-COC-005428	#N/A	"E.G.I. HOLDCO EL SALVADOR, S.A. DE C.V."	"E.G.I. HOLDCO EL SALVADOR, S.A. DE C.V."	1	0	 Cuscatlan	Suchitoto	San Lucas	1	N/A	N/A	N/A	#N/A	#N/A	#N/A			#N/A	SmartWood	CdC	2011	17 Apr 2016			
