No.	Certification#	Certification#	Entity	Owner	Finca	Beneficio	Department	Municipality	Canton	Operations	TotalArea	CultivationArea	Production(kg/green)	MaximumQty(kg)	Annual%Sold	Cycle%Sold	Latitude	Longitude	OriginalCertDate	Program	Status	YearOfCert	ExpirationDate			
203	SFC-F-01051	SFC-F-01051	Santa María La Cumbre	"Vila, S.A. de C.V. "	1	0	La Libertad	Talnique	Las Quebradas	1	19.68	18.9	20058.64	20058	0	0	13.62066	-89.34159	"Jul 31,13"	Rainforest Alliance CertifiedTM	Certificada	2006	07/31/13			
204	SFC-C-00673	#N/A	La Ale	"Volcán Irazu, S.A de C.V."	1	0	Usulutan 	Santiago de Maria	El Tigre	1	31.79	24.5	35727	#N/A	#N/A	#N/A	13.46668	-88.45777	#N/A	Rainforest Alliance CertifiedTM	Certificada	2005	07/27/13			
205	SFC-C-00672	#N/A	Irazu	"Volcán Irazu, S.A de C.V."	1	0	Usulutan 	Alegria	El Tigre	1	8.4	7.7	13873.47	#N/A	#N/A	#N/A	13.46668	-88.45777	#N/A	Rainforest Alliance CertifiedTM	Certificada	2005	07/27/13			
206	SFC-C-00674	#N/A	Santa Teresa	"Volcán Irazu, S.A de C.V."	1	0	Usulutan 	Santiago de Maria	El Tigre	1	42	37	37512	#N/A	#N/A	#N/A	13.46668	-88.45777	#N/A	Rainforest Alliance CertifiedTM	Certificada	2005	07/27/13			
207	SFC-F-01192	SFC-F-01192	Majahual	"YAKIMA, S.A. de C.V.    "	1	0	Sonsonate	Juayua	Los Naranjos	1	169.73	99.3	117300	117300	0.55	0.55	13.89098	-89.68562	"May 31,13"	Rainforest Alliance CertifiedTM	Certificada	2005	05/31/13			
																#N/A										#N/A
																#N/A										#N/A
																#N/A										#N/A
																#N/A										#N/A
																#N/A										#N/A
																#N/A										#N/A
																#N/A										#N/A
																#N/A										#N/A
																#N/A										#N/A
																#N/A										#N/A
																#N/A										#N/A
																#N/A										#N/A
																#N/A										#N/A
																#N/A										#N/A
																#N/A										#N/A
																#N/A										#N/A
																#N/A										#N/A
																#N/A										
																#N/A										
																#N/A										
																#N/A										
																#N/A										
																#N/A										
																#N/A										
																#N/A										
